name	description	season	episode	source	
Temperamentos tempestuosos	...	1	1	//sendvid.com/embed/3ws6zb59	<iframe width="560" height="315" src="//sendvid.com/embed/3ws6zb59" frameborder="0" allowfullscreen></iframe>
Los monstruos caminan de madrugada	...	1	2	//sendvid.com/embed/wo8vcqqq	<iframe width="560" height="315" src="//sendvid.com/embed/wo8vcqqq" frameborder="0" allowfullscreen></iframe>
Telepatía (1ª parte)	...	1	3	//sendvid.com/embed/cmua36z3	<iframe width="560" height="315" src="//sendvid.com/embed/cmua36z3" frameborder="0" allowfullscreen></iframe>
Telepatía (2ª parte)	...	1	4	//sendvid.com/embed/clm210ly	<iframe width="560" height="315" src="//sendvid.com/embed/clm210ly" frameborder="0" allowfullscreen></iframe>
Anarquía artística	...	1	5	//sendvid.com/embed/jvtqagwe	<iframe width="560" height="315" src="//sendvid.com/embed/jvtqagwe" frameborder="0" allowfullscreen></iframe>
El extranjero pelirrojo	...	1	6	//sendvid.com/embed/2ock9duu	<iframe width="560" height="315" src="//sendvid.com/embed/2ock9duu" frameborder="0" allowfullscreen></iframe>
Solos ante el peligro	...	1	7	//sendvid.com/embed/6oikm87f	<iframe width="560" height="315" src="//sendvid.com/embed/6oikm87f" frameborder="0" allowfullscreen></iframe>
Narcisismo	...	1	8	//sendvid.com/embed/90yqfead	<iframe width="560" height="315" src="//sendvid.com/embed/90yqfead" frameborder="0" allowfullscreen></iframe>
Espíritus malignos	...	1	9	//sendvid.com/embed/48y520t3	<iframe width="560" height="315" src="//sendvid.com/embed/48y520t3" frameborder="0" allowfullscreen></iframe>
Combatir el fuego con fuego	...	1	10	//sendvid.com/embed/x4f92hu6	<iframe width="560" height="315" src="//sendvid.com/embed/x4f92hu6" frameborder="0" allowfullscreen></iframe>
Ángeles caídos	...	1	11	//sendvid.com/embed/avi9h3xg	<iframe width="560" height="315" src="//sendvid.com/embed/avi9h3xg" frameborder="0" allowfullscreen></iframe>
Aprendiendo del pasado	...	1	12	//sendvid.com/embed/cnqhiy36	<iframe width="560" height="315" src="//sendvid.com/embed/cnqhiy36" frameborder="0" allowfullscreen></iframe>
El sendero de la noche (1ª parte)	...	1	13	//sendvid.com/embed/rzmpdi75	<iframe width="560" height="315" src="//sendvid.com/embed/rzmpdi75" frameborder="0" allowfullscreen></iframe>
El sendero de la noche (2ª parte)	...	1	14	//sendvid.com/embed/oerqpctc	<iframe width="560" height="315" src="//sendvid.com/embed/oerqpctc" frameborder="0" allowfullscreen></iframe>
Hasta la médula	...	1	15	//sendvid.com/embed/dxd1lm0f	<iframe width="560" height="315" src="//sendvid.com/embed/dxd1lm0f" frameborder="0" allowfullscreen></iframe>
Echar a perder tu propia vida (1ª parte)	...	1	16	//sendvid.com/embed/dzom4bnp	<iframe width="560" height="315" src="//sendvid.com/embed/dzom4bnp" frameborder="0" allowfullscreen></iframe>
Echar a perder tu propia vida (2ª parte)	...	1	17	//sendvid.com/embed/ndbw5ovn	<iframe width="560" height="315" src="//sendvid.com/embed/ndbw5ovn" frameborder="0" allowfullscreen></iframe>
Hábil en los estudios y los deportes	...	1	18	//sendvid.com/embed/nfkdf4lt	<iframe width="560" height="315" src="//sendvid.com/embed/nfkdf4lt" frameborder="0" allowfullscreen></iframe>
Causa y efecto, recompensa	...	1	19	//sendvid.com/embed/d75iizqx	<iframe width="560" height="315" src="//sendvid.com/embed/d75iizqx" frameborder="0" allowfullscreen></iframe>
Elejía del engaño (1ª parte)	...	1	20	//sendvid.com/embed/bi6xl4hc	<iframe width="560" height="315" src="//sendvid.com/embed/bi6xl4hc" frameborder="0" allowfullscreen></iframe>
Elejía del engaño (2ª parte)	...	1	21	//sendvid.com/embed/9zf9az37	<iframe width="560" height="315" src="//sendvid.com/embed/9zf9az37" frameborder="0" allowfullscreen></iframe>
Colisiones cósmicas	...	1	22	//sendvid.com/embed/yegl7mmg	<iframe width="560" height="315" src="//sendvid.com/embed/yegl7mmg" frameborder="0" allowfullscreen></iframe>
Baseball Blues	...	1	23	//sendvid.com/embed/xhbyorxr	<iframe width="560" height="315" src="//sendvid.com/embed/xhbyorxr" frameborder="0" allowfullscreen></iframe>
Vicisitudes de la vida y la muerte (1ª parte)	...	1	24	//sendvid.com/embed/67k884yn	<iframe width="560" height="315" src="//sendvid.com/embed/67k884yn" frameborder="0" allowfullscreen></iframe>
Vicisitudes de la vida y la muerte (2ª parte)	...	1	25	//sendvid.com/embed/ir9xk3t6	<iframe width="560" height="315" src="//sendvid.com/embed/ir9xk3t6" frameborder="0" allowfullscreen></iframe>
Vicisitudes de la vida y la muerte (3ª parte)	...	1	26	//sendvid.com/embed/111bc19m	<iframe width="560" height="315" src="//sendvid.com/embed/111bc19m" frameborder="0" allowfullscreen></iframe>